name,rating,reviews,avg_salary,description
Siemens,3.9,5.8k,34.7k,Industrial Automation | Bengaluru +155 other locations
Aurobindo Pharma,4.0,5.8k,20.6k,Pharma | Hyderabad +115 other locations
ICICI Lombard General Insurance Company,3.5,5.8k,20.2k,Insurance | Mumbai +320 other locations
Manappuram Finance,3.9,5.8k,9.5k,NBFC | Bengaluru +660 other locations
GlobalLogic,3.5,5.8k,41.5k,IT Services & Consulting | Hyderabad +62 other locations
Firstsource Solutions,3.5,5.8k,24.8k,BPO | Bengaluru +74 other locations
Tata Capital,4.0,5.7k,16.2k,NBFC | Mumbai +452 other locations
Udaan,3.9,5.7k,15.4k,Internet | Bengaluru +366 other locations
UST,3.7,5.7k,40.6k,IT Services & Consulting | Bengaluru +52 other locations
Shapoorji Pallonji Group,4.1,5.7k,15.6k,Engineering & Construction | Mumbai +189 other locations
Standard Chartered,3.6,5.7k,42.5k,Banking | Chennai +68 other locations
Bosch Global Software Technologies,3.7,5.6k,41.1k,IT Services & Consulting | Bengaluru +47 other locations
Apollo Hospitals,4.0,5.6k,16.8k,Healthcare | Chennai +225 other locations
Mahindra Finance,3.9,5.6k,12.4k,NBFC | Mumbai +736 other locations
Swiggy,3.7,5.6k,23.7k,Internet | Bengaluru +238 other locations
Ashok Leyland,4.0,5.6k,18.9k,Automobile | Chennai +265 other locations
Citicorp,3.6,5.5k,54.3k,Financial Services | Pune +68 other locations
Hero MotoCorp,4.1,5.4k,16.2k,Automobile | Gurugram +369 other locations
CGI Group,4.0,5.4k,46.9k,IT Services & Consulting | Bengaluru +43 other locations
Cyient,3.6,5.3k,27.8k,IT Services & Consulting | Hyderabad +49 other locations
SBI Cards & Payment Services,3.6,5.3k,16.1k,Financial Services | Gurugram +446 other locations
BNY,3.6,5.3k,31.9k,Financial Services | Pune +27 other locations
NTT DATA,3.8,5.2k,38.2k,IT Services & Consulting | Bengaluru +81 other locations
Kalpataru Projects International,4.2,5.2k,13.7k,Engineering & Construction | Mumbai +325 other locations
IQVIA,3.7,5.2k,31.8k,Clinical Research | Bengaluru +67 other locations
Nagarjuna Construction Company,4.0,5.2k,12.5k,Engineering & Construction | Hyderabad +299 other locations
JustDial,3.5,5.1k,15.5k,Internet | Noida +235 other locations
