name,rating,reviews,avg_salary,description
Suguna Foods,3.9,1.5k,4.2k,Food Processing | Coimbatore +205 other locations
Patra India,3.6,1.5k,6.2k,BPO | Visakhapatnam +26 other locations
Hinduja Leyland Finance,3.9,1.5k,3k,NBFC | Chennai +298 other locations
Tesco,3.5,1.5k,9.1k,Retail | Bengaluru +17 other locations
Bisleri,4.2,1.5k,4.4k,Beverage | Mumbai +180 other locations
Karur Vysya Bank,3.5,1.5k,4.9k,Banking | Chennai +193 other locations
Tata Consumer Products,3.5,1.5k,5.9k,FMCG | Bengaluru +226 other locations
Labmentix,4.5,1.5k,33,Bengaluru +32 other locations
SHYAM METALICS AND ENERGY,3.4,1.5k,4.8k,Metals & Mining | Kolkata +76 other locations
Steel Strips Wheels,3.8,1.5k,5.5k,Auto Components | Chennai +50 other locations
Evalueserve,3.0,1.5k,10.5k,Analytics & KPO | Gurugram +15 other locations
XL Dynamics,3.6,1.5k,3.6k,IT Services & Consulting | Mumbai +31 other locations
Oracle Cerner,3.3,1.5k,10.1k,Software Product | Bengaluru +7 other locations
Canara Bank,3.6,1.5k,4.1k,Banking | Bengaluru +227 other locations
Piramal Pharma,3.9,1.5k,6.5k,Pharma | Mumbai +83 other locations
SAI Life Sciences,3.9,1.5k,6k,Clinical Research | Hyderabad +26 other locations
GMR Group,3.9,1.5k,4.7k,Engineering & Construction | New Delhi +75 other locations
GE VERNOVA,4.1,1.5k,5.5k,Power | Bengaluru +84 other locations
HCL Infosystems,4.0,1.5k,6.9k,IT Services & Consulting | Noida +104 other locations
Page Industries,4.1,1.5k,4.9k,Fashion & Textile | Bengaluru +165 other locations
mPokket,4.5,1.5k,1.6k,NBFC | Kolkata +21 other locations
QualityKiosk Technologies,3.2,1.5k,11.3k,IT Services & Consulting | Mumbai +21 other locations
Ashoka Buildcon,4.1,1.5k,4.2k,Engineering & Construction | Nashik +155 other locations
Sonata Software,3.4,1.5k,11.9k,IT Services & Consulting | Bengaluru +17 other locations
Max Fashion,4.0,1.5k,3.4k,Retail | Bengaluru +153 other locations
Tanishq,4.1,1.5k,3.1k,Jewellery | Kolkata +238 other locations
Devyani International,3.8,1.5k,3.4k,Hospitality | New Delhi +135 other locations
Wheelseye Technology,3.4,1.5k,3.9k,Internet | Gurugram +222 other locations
Honeywell Technology Solutions,3.6,1.5k,11.4k,Industrial Automation | Bengaluru +18 other locations
Gland Pharma,4.0,1.5k,5.9k,Pharma | Hyderabad +35 other locations
V5 Global Services,3.9,1.5k,3.7k,Recruitment | New Delhi +216 other locations
Chandigarh University,4.3,1.5k,2.9k,Education & Training | Chandigarh +47 other locations
Daimler India Commercial Vehicles,3.9,1.5k,6.7k,Automobile | Chennai +49 other locations
Acuity Analytics,3.1,1.5k,12.7k,Analytics & KPO | Bengaluru +16 other locations
Valeo,4.0,1.5k,8.1k,Auto Components | Chennai +23 other locations
Taurus BPO Services,4.1,1.5k,975,BPO | Pune +23 other locations
Aon,3.8,1.4k,6.3k,Management Consulting | Bengaluru +25 other locations
Airtel Payments Bank,3.8,1.5k,5.2k,Banking | Gurugram +334 other locations
Apco Infratech,3.7,1.4k,4.3k,Engineering & Construction | Mumbai +95 other locations
ISS Facility Services,4.0,1.4k,4.1k,Facility Management Services | Mumbai +65 other locations
Indoco Remedies,3.5,1.4k,5.6k,Pharma | Mumbai +84 other locations
Heritage Foods,4.1,1.4k,3.8k,Food Processing | Hyderabad +124 other locations
Oberoi Group of Hotels,4.0,1.4k,3.8k,Hospitality | New Delhi +39 other locations
NIIT,3.5,1.4k,6k,Education & Training | Gurugram +102 other locations
Amneal Pharmaceuticals,4.2,1.4k,6.2k,Pharma | Ahmedabad +44 other locations
PNB Housing Finance,3.8,1.4k,4.7k,NBFC | New Delhi +169 other locations
Apexon,3.3,1.4k,9.6k,IT Services & Consulting | Bengaluru +22 other locations
Narayana Educational Society,3.6,1.4k,4.1k,Education & Training | Hyderabad +146 other locations
Bharat Forge,3.8,1.4k,6.4k,Auto Components | Pune +28 other locations
Hyatt Regency,4.0,1.4k,3k,Hospitality | New Delhi +50 other locations
SBFC Finance,3.8,1.4k,2.8k,NBFC | Mumbai +216 other locations
Altimetrik,3.5,1.4k,12.2k,IT Services & Consulting | Bengaluru +15 other locations
Happiest Minds Technologies,3.4,1.4k,12.6k,IT Services & Consulting | Bengaluru +17 other locations
Acmegrade,3.9,1.4k,282,EdTech | Bengaluru +21 other locations
Jaquar,4.1,1.4k,5k,Building Material | Gurugram +117 other locations
ALTEN,3.6,1.4k,8.4k,IT Services & Consulting | Bengaluru +28 other locations
Aumovio,3.8,1.4k,9.4k,Auto Components | Bengaluru +21 other locations
Agilus Diagnostics,4.1,1.4k,3.4k,Healthcare | Mumbai +136 other locations
Sony,4.2,1.4k,4.6k,Consumer Electronics & Appliances | New Delhi +143 other locations
Morningstar,3.7,1.4k,10.3k,Financial Services | Mumbai +18 other locations
AB InBev India,3.3,1.4k,7.8k,Beverage | Bengaluru +76 other locations
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.4k,5k,Auto Components | Pune +47 other locations
Indegene,3.2,1.4k,9.7k,Analytics & KPO | Bengaluru +32 other locations
Tieto,4.1,1.4k,9.5k,IT Services & Consulting | Pune +13 other locations
Fusion Finance,3.9,1.4k,3.2k,NBFC | New Delhi +346 other locations
Amara Raja Energy & Mobility,4.0,1.4k,4.1k,Auto Components | Tirupati +93 other locations
Slk Software Services,3.2,1.4k,9.5k,IT Services & Consulting | Bengaluru +15 other locations
Chetu,3.6,1.4k,7.4k,Software Product | Noida +14 other locations
Tata Group,4.2,1.4k,5.6k,IT Services & Consulting | Mumbai +167 other locations
Xiaomi,3.8,1.4k,5.6k,Consumer Electronics & Appliances | Bengaluru +213 other locations
Vfs Global Services,3.4,1.4k,4.3k,IT Services & Consulting | Mumbai +32 other locations
Tenarai,3.5,1.4k,11.2k,Emerging Technologies | Bengaluru +23 other locations
Adobe,3.7,1.4k,13.1k,Software Product | Bengaluru +22 other locations
IDC Technologies,3.1,1.4k,6.8k,IT Services & Consulting | Noida +66 other locations
J. Kumar Infraprojects,4.1,1.4k,4.4k,Engineering & Construction | Mumbai +41 other locations
Nykaa,3.4,1.4k,6.8k,Internet | Mumbai +115 other locations
DCM Shriram,4.1,1.4k,4.9k,Chemicals | Bharuch +108 other locations
VLCC,3.3,1.4k,3.3k,Beauty & Personal Care | New Delhi +110 other locations
Unisys,3.5,1.4k,10.1k,IT Services & Consulting | Bengaluru +18 other locations
The Muthoot Group,3.6,1.4k,3.7k,Financial Services | New Delhi +309 other locations
Sansera Engineering,4.0,1.4k,5.5k,Auto Components | Bengaluru +28 other locations
VOIS,3.8,1.4k,8.5k,IT Services & Consulting | Pune +21 other locations
AtkinsRealis,3.7,1.4k,6k,Engineering & Construction | Bengaluru +55 other locations
Eaton,4.0,1.4k,8k,Electronics Manufacturing | Pune +22 other locations
Oracle Financial Services Software,3.4,1.4k,10.7k,Software Product | Bengaluru +22 other locations
FedEx Express,4.0,1.4k,5.2k,Logistics | Mumbai +94 other locations
Kantar,3.5,1.4k,6.7k,Analytics & KPO | Bengaluru +44 other locations
EOSGlobe,2.9,1.4k,4k,BPO | Mumbai +29 other locations
MedPlus,3.5,1.4k,4.3k,Retail | Hyderabad +143 other locations
TEKsystems,3.1,1.4k,11k,IT Services & Consulting | Bengaluru +18 other locations
City Union Bank,3.0,1.4k,5.8k,Banking | Chennai +195 other locations
TÜV SÜD,4.0,1.4k,3.8k,"Testing, Inspection and Certification (TIC) | Bengaluru +132 other locations"
Worley,4.1,1.4k,7.4k,Engineering & Construction | Mumbai +56 other locations
TCS iON,3.8,1.4k,4k,IT Services & Consulting | Hyderabad +113 other locations
Aerial Telecom Solutions,4.2,1.4k,2.3k,Telecom | Sahibzada Ajit Singh Nagar +112 other locations
Fino Payments Bank,3.8,1.4k,4k,Banking | Mumbai +274 other locations
Sharekhan,3.7,1.4k,5.1k,Financial Services | Mumbai +114 other locations
Rashmi Metaliks,3.1,1.4k,4.7k,Iron & Steel | Kharagpur +43 other locations
Sunknowledge Services,3.4,1.4k,3.8k,BPO | Kolkata +13 other locations
Novo Nordisk,3.7,1.4k,6.4k,Pharma | Bengaluru +74 other locations
iMerit,3.2,1.4k,5.6k,IT Services & Consulting | Kolkata +22 other locations
Bajaj Housing Finance,3.6,1.4k,5.8k,NBFC | Pune +166 other locations
Faurecia,3.9,1.4k,6k,Auto Components | Pune +28 other locations
Aforeserve,3.4,1.4k,3.6k,IT Services & Consulting | Mumbai +159 other locations
Paytm Payments Bank,3.8,1.4k,5.7k,Banking | Noida +135 other locations
Incedo,2.9,1.4k,10.3k,IT Services & Consulting | Gurugram +13 other locations
Amity University,3.6,1.4k,5.2k,Education & Training | Noida +85 other locations
Bharat FIH,3.7,1.4k,5.3k,Electronics Manufacturing | Chennai +39 other locations
Citco,3.1,1.4k,9.6k,Management Consulting | Pune +13 other locations
Iffco Tokio General Insurance Co.,3.8,1.3k,4k,Insurance | Gurugram +282 other locations
Sheenlac Paints,4.2,1.3k,1.7k,Chemicals | Chennai +162 other locations
JSW Cement,4.1,1.3k,4.4k,Building Material | Mumbai +144 other locations
INDIUM,4.0,1.3k,7k,IT Services & Consulting | Chennai +13 other locations
DEXIT Global,3.5,1.3k,5.9k,IT Services & Consulting | Mumbai +151 other locations
Unichem Laboratories,3.7,1.3k,5.1k,Pharma | Ghaziabad +76 other locations
Aptara,3.1,1.3k,6.3k,Content Development | Noida +15 other locations
Collabera Talent Solutions,3.5,1.3k,6.9k,Recruitment | Bengaluru +43 other locations
GE,4.1,1.3k,7.4k,Defence & Aerospace | Bengaluru +76 other locations
Burger King,3.9,1.3k,3.5k,Hospitality | New Delhi +111 other locations
TE Connectivity,4.1,1.3k,7.4k,Electronics Manufacturing | Bengaluru +22 other locations
Hindware Limited,3.9,1.3k,4.6k,Building Material | Hyderabad +133 other locations
The Ramco Cements,4.1,1.3k,4.3k,Building Material | Chennai +124 other locations
JioMart,3.9,1.3k,4.2k,Retail | Mumbai +294 other locations
FDC,3.7,1.3k,3.7k,Pharma | Mumbai +128 other locations
Big Bazaar,4.4,1.3k,2.2k,Retail | New Delhi +158 other locations
GEP Worldwide,3.6,1.3k,9.4k,IT Services & Consulting | Mumbai +17 other locations
CreditAccess Grameen,3.9,1.3k,2.7k,NBFC | Bengaluru +348 other locations
ZF Steering Gear,3.7,1.3k,7.3k,Auto Components | Hyderabad +34 other locations
Hatsun Agro Product,3.8,1.3k,4.7k,Food Processing | Chennai +127 other locations
Grant Thornton,3.4,1.3k,11.4k,Accounting & Auditing | Bengaluru +59 other locations
Brillio,3.4,1.3k,10.6k,IT Services & Consulting | Bengaluru +14 other locations
ManpowerGroup,3.6,1.3k,5.1k,Recruitment | Bengaluru +149 other locations
Cinépolis,3.8,1.3k,2.9k,Media & Entertainment | New Delhi +60 other locations
RBL FinServe,3.9,1.3k,3k,Financial Services | Mumbai +364 other locations
VIBGYOR Group of Schools,3.5,1.3k,4.2k,Education & Training | Bengaluru +37 other locations
Shubham Housing Development Finance,3.9,1.3k,2.9k,NBFC | New Delhi +159 other locations
Nippon Paint India,4.0,1.3k,3.8k,Chemicals | Chennai +163 other locations
Baroda Global Shared Services,3.8,1.3k,3k,BPO | Gandhinagar +181 other locations
Punjab National Bank,3.8,1.3k,3k,Banking | New Delhi +215 other locations
R Systems International,3.5,1.3k,7.4k,IT Services & Consulting | Noida +23 other locations
Decathlon,3.7,1.3k,4.3k,Retail | Bengaluru +71 other locations
Viraj Profiles,4.0,1.3k,4.5k,Iron & Steel | Mumbai +28 other locations
Spicejet,3.3,1.3k,5.1k,Aviation | New Delhi +60 other locations
CenturyPly,3.9,1.3k,4.3k,Furniture & Furnishing | Kolkata +146 other locations
Atul,3.9,1.3k,5.1k,Chemicals | Valsad +64 other locations
Bluestock ™,4.5,1.3k,58,FinTech | Pune +44 other locations
More Supermarket,3.7,1.3k,3.9k,Retail | Bengaluru +164 other locations
Fabindia,3.8,1.3k,4.1k,Retail | New Delhi +82 other locations
OM Logistics,3.9,1.3k,3.8k,Logistics | New Delhi +124 other locations
Mondelez International,4.1,1.3k,4.8k,Food Processing | Mumbai +200 other locations
Troikaa Pharmaceuticals,4.0,1.3k,3.8k,Pharma | Ahmedabad +106 other locations
Astral Pipe,3.9,1.3k,4.1k,Building Material | Ahmedabad +143 other locations
NetAmbit,4.0,1.3k,3.1k,BPO | Noida +152 other locations
Hindustan Construction Company,4.3,1.3k,3.2k,Engineering & Construction | Mumbai +93 other locations
Luminous Power Technologies,4.1,1.3k,4k,Consumer Electronics & Appliances | Gurugram +132 other locations
Pantaloons,4.1,1.3k,3k,Retail | Mumbai +155 other locations
Samsung Research,3.0,1.3k,9.7k,IT Services & Consulting | Bengaluru +21 other locations
OpenText Technologies,3.3,1.3k,12k,Software Product | Bengaluru +14 other locations
Ion Exchange India,3.7,1.3k,5.1k,Waste Management | Mumbai +126 other locations
Globant,3.4,1.3k,10.3k,IT Services & Consulting | Pune +17 other locations
SK Finance Limited,3.8,1.3k,3.5k,NBFC | Jaipur +273 other locations
Hire In Global,4.9,1.3k,8,Recruitment | Mumbai +59 other locations
Jakson Group,4.1,1.3k,3.9k,Power | Noida +103 other locations
ICICI Prudential Mutual Fund,3.9,1.3k,5.6k,Financial Services | Mumbai +170 other locations
Sigma Electric Manufacturing Corporation,4.0,1.3k,2.8k,Industrial Machinery | Pune +23 other locations
NxtWave,3.6,1.3k,3.2k,EdTech | Hyderabad +54 other locations
Centre for Development of Advanced Computing,3.7,1.3k,6.9k,IT Services & Consulting | Pune +41 other locations
Vestas,4.1,1.3k,5.4k,Power | Chennai +51 other locations
AGS Transact Technologies,2.8,1.3k,3.8k,FinTech | Mumbai +123 other locations
Panasonic,4.0,1.3k,4.8k,Consumer Electronics & Appliances | Gurugram +124 other locations
ANZ Banking Group,3.8,1.3k,8.3k,Banking | Bengaluru +17 other locations
Apex Group,2.7,1.3k,8k,Financial Services | Pune +28 other locations
Aarvee Associates,3.7,1.3k,3.4k,Engineering & Construction | Hyderabad +178 other locations
Tenneco,3.6,1.3k,5.3k,Auto Components | Pune +45 other locations
Automotive Manufacturers,3.8,1.3k,5.2k,Automobile | Hyderabad +149 other locations
T-Systems ICT India,3.8,1.3k,8.8k,IT Services & Consulting | Pune +16 other locations
Royal Migration Solutions,4.9,1.3k,5,Other | Dubai +12 other locations
Electronics Corporation of India Limited,4.2,1.3k,3.2k,Electronics Manufacturing | Hyderabad +57 other locations
Dell EMC,3.8,1.2k,8.6k,IT Services & Consulting | Bengaluru +53 other locations
Godrej Consumer Products,4.0,1.2k,4.8k,FMCG | Mumbai +149 other locations
Fresenius Kabi,4.0,1.2k,4k,Pharma | Pune +65 other locations
SKF,4.0,1.2k,4.6k,Auto Components | Pune +70 other locations
Intertek,3.7,1.2k,4k,"Testing, Inspection and Certification (TIC) | New Delhi +116 other locations"
PNC Infratech,3.8,1.2k,3.4k,Engineering & Construction | Agra +96 other locations
Jindal X,3.5,1.2k,2.8k,BPO | New Delhi +22 other locations
Spandana Sphoorty Financial,3.7,1.2k,2.4k,NBFC | Hyderabad +357 other locations
KIMS Hospital,3.8,1.2k,3.6k,Healthcare | Hyderabad +60 other locations
iSON Xperiences,3.2,1.2k,3.3k,BPO | Chennai +43 other locations
Mu Sigma,2.5,1.2k,6.8k,Analytics & KPO | Bengaluru +16 other locations
H.G. Infra Engineering,4.0,1.2k,3.2k,Engineering & Construction | Jaipur +99 other locations
Prodapt,3.5,1.2k,9.8k,IT Services & Consulting | Chennai +16 other locations
Synchrony,4.3,1.2k,5.5k,Financial Services | Hyderabad +9 other locations
Oil And Natural Gas Corporation,4.3,1.2k,3.1k,Oil & Gas | Mumbai +84 other locations
Zoho,4.1,1.2k,9.9k,Software Product | Chennai +36 other locations
Dassault Systemes,3.7,1.2k,7.2k,Software Product | Pune +13 other locations
Kalpataru Limited,4.2,1.2k,4.5k,Real Estate | Mumbai +83 other locations
Shriram Pistons & Rings,4.0,1.2k,4.5k,Auto Components | Bhiwadi +62 other locations
Rupeek,4.1,1.2k,3.3k,FinTech | Bengaluru +55 other locations
AIIMS,4.1,1.2k,4.5k,Education & Training | New Delhi +76 other locations
Wind World,4.0,1.2k,3.2k,Power | Jaisalmer +82 other locations
Parexel International,3.8,1.2k,6k,Clinical Research | Hyderabad +25 other locations
Rockman Industries,3.8,1.2k,3.8k,Auto Components | Haridwar +41 other locations
DP World,3.8,1.2k,5k,Logistics | Mumbai +84 other locations
Qualcomm,3.7,1.2k,14.9k,Semiconductors | Hyderabad +18 other locations
DLF,3.9,1.2k,4.8k,Real Estate | Gurugram +35 other locations
Diageo,3.8,1.2k,6.3k,Beverage | Bengaluru +99 other locations
Fidelity Investments,4.1,1.2k,8.1k,Financial Services | Bengaluru +18 other locations
EbixCash Limited,3.6,1.2k,5.1k,Software Product | Noida +85 other locations
Indostar Capital Finance Limited,4.3,1.2k,2k,NBFC | Mumbai +328 other locations
Best Sellers,4.1,1.2k,3k,Retail | Mumbai +92 other locations
Colliers India,3.9,1.2k,4.9k,Real Estate | Bengaluru +48 other locations
DENSO,4.1,1.2k,3.8k,Auto Components | Gurugram +39 other locations
PHN Technology,4.3,1.2k,370,EdTech | Pune +32 other locations
ExcelR,3.7,1.2k,1.1k,Education & Training | Bengaluru +25 other locations
JTEKT,4.1,1.2k,4.3k,Auto Components | Gurugram +30 other locations
Kirloskar Oil Engines,4.1,1.2k,4.1k,Industrial Machinery | Pune +107 other locations
Ahluwalia Contracts India,4.0,1.2k,3.5k,Engineering & Construction | New Delhi +55 other locations
Nielsen,3.1,1.2k,6.6k,Analytics & KPO | Bengaluru +74 other locations
Intel,4.1,1.2k,9.2k,Semiconductors | Bengaluru +38 other locations
Fidelity National Financial,3.7,1.2k,6.1k,Financial Services | Bengaluru +15 other locations
JK Lakshmi Cement,3.7,1.2k,3.7k,Building Material | New Delhi +141 other locations
Strides Pharma,3.8,1.2k,4.3k,Pharma | Bengaluru +43 other locations
Genius HRTech,3.8,1.2k,3.9k,Recruitment | Kolkata +108 other locations
ACG Worldwide,3.8,1.2k,3.9k,Pharma | Mumbai +31 other locations
Leadec India,4.1,1.2k,3.5k,Facility Management Services | Pune +79 other locations
FOCUS EDUMATICS,2.9,1.2k,3.1k,EdTech | Coimbatore +35 other locations
Baazar Retail Private Limited,4.5,1.2k,1.5k,Retail | Kolkata +109 other locations
Thyrocare Technologies,3.7,1.2k,4.3k,Healthcare | Mumbai +77 other locations
Electronica Finance,4.1,1.2k,2.8k,NBFC | Pune +173 other locations
Innova Solutions,3.3,1.2k,8.1k,IT Services & Consulting | Hyderabad +37 other locations
Zetwerk,4.0,1.2k,4.1k,Industrial Machinery | Bengaluru +122 other locations
PayPal,3.7,1.2k,9.9k,FinTech | Bengaluru +15 other locations
Federal Bank,3.6,1.2k,5.7k,Banking | Mumbai +153 other locations
HFCL Limited,3.8,1.2k,4.2k,Telecom | Hyderabad +111 other locations
Barclays Shared Services,3.8,1.2k,4.7k,Financial Services | Chennai +17 other locations
Salesforce,3.9,1.2k,13.9k,Software Product | Hyderabad +39 other locations
Sri Chaitanya Techno Schools,3.5,1.2k,3.5k,Education & Training | Bengaluru +169 other locations
Podar International School,4.1,1.2k,3.2k,Education & Training | Mumbai +125 other locations
Ocwen Financial Solutions,3.8,1.2k,4.3k,Financial Services | Bengaluru +9 other locations
Coca-Cola Company,4.0,1.2k,3.3k,Beverage | Bengaluru +207 other locations
Prism Johnson,3.7,1.2k,4.5k,Building Material | Mumbai +145 other locations
The Jaypee Group,3.8,1.1k,3.4k,Engineering & Construction | Noida +106 other locations
Aptiv,3.4,1.1k,8.3k,Auto Components | Bengaluru +26 other locations
Meril,3.6,1.1k,4.9k,Medical Equipment | Vapi +83 other locations
Johnson Lifts,3.8,1.1k,3.6k,Industrial Machinery | Chennai +75 other locations
Aparna Constructions and Estates,3.9,1.1k,4k,Real Estate | Hyderabad +22 other locations
Schaeffler India,4.1,1.1k,5.6k,Auto Components | Vadodara +28 other locations
Apollo Health and Lifestyle Limited,4.3,1.1k,3.4k,Healthcare | Hyderabad +94 other locations
Indira IVF Hospital,3.9,1.1k,3k,Healthcare | Mumbai +105 other locations
Birla Corporation,4.1,1.1k,3.7k,Building Material | Satna +145 other locations
Nilkamal,3.7,1.1k,3.7k,Furniture & Furnishing | Mumbai +112 other locations
MDIndia Health Insurance TPA,3.6,1.1k,3.7k,Insurance | Pune +92 other locations
Edelweiss,3.6,1.1k,5.6k,Financial Services | Mumbai +113 other locations
CaratLane - A Tata Product,4.0,1.1k,3k,Jewellery | Chennai +87 other locations
Balkrishna Industries,4.0,1.1k,4.2k,Auto Components | Bhuj +35 other locations
Dhoot Transmission,3.7,1.1k,3.9k,Auto Components | Chhatrapati Sambhajinagar +43 other locations
DISH TV,3.4,1.1k,3.3k,Broadcasting | Noida +150 other locations
London Stock Exchange Group,3.7,1.1k,11k,Financial Services | Bengaluru +11 other locations
Bajaj Motors,3.9,1.1k,3.4k,Auto Components | Gurugram +90 other locations
Motilal Oswal Home Finance,4.3,1.1k,1.4k,NBFC | Mumbai +129 other locations
Biocon Biologics,3.7,1.1k,6.9k,Biotechnology | Bengaluru +27 other locations
Imperial Auto Industries,3.8,1.1k,4.8k,Auto Components | Faridabad +37 other locations
Deccan Fine Chemicals,3.6,1.1k,5.1k,Agro Chemicals | Tuni +31 other locations
Edelweiss Life Insurance,3.7,1.1k,3.5k,Insurance | Mumbai +123 other locations
INDO-MIM,4.0,1.1k,4.3k,Metals & Mining | Bengaluru +35 other locations
Kohler,3.7,1.1k,5.1k,Building Material | Pune +52 other locations
Piaggio,3.6,1.1k,3.8k,Automobile | Pune +84 other locations
Barbeque Nation,3.9,1.1k,2.7k,Hospitality | Bengaluru +83 other locations
IIFL Home Finance,3.7,1.1k,2.8k,NBFC | Gurugram +263 other locations
Jacobs Engineering Group,4.2,1.1k,5.2k,Engineering & Construction | Mumbai +41 other locations
Onward Technologies Inc,2.8,1.1k,6.1k,IT Services & Consulting | Pune +63 other locations
Navitasys India,4.1,1.1k,2.7k,Electronics Manufacturing | Bawal +28 other locations
Wistron,4.0,1.1k,5.1k,Electronics Manufacturing | Bengaluru +22 other locations
Jabil Circuit India,4.0,1.1k,4.3k,Electronics Manufacturing | Pune +30 other locations
Advantmed,4.1,1.1k,2.7k,Healthcare | Ahmedabad +16 other locations
Wonder Home Finance,4.6,1.1k,753,NBFC | Jaipur +120 other locations
Asirvad Microfinance,3.8,1.1k,2.3k,NBFC | Chennai +318 other locations
V2 Retail,3.4,1.1k,2.6k,Retail | New Delhi +134 other locations
Unicharm,3.9,1.1k,2.9k,FMCG | Gurugram +191 other locations
TK Elevator,3.8,1.1k,4.2k,Industrial Machinery | Pune +80 other locations
Air India Sats Airport Services,3.6,1.1k,2.5k,Aviation | New Delhi +46 other locations
Hyundai Mobis,3.7,1.1k,5.1k,Auto Components | Chennai +47 other locations
Sundaram Finance,3.9,1.1k,2.9k,NBFC | Chennai +249 other locations
MAHLE ANAND Filter Systems,4.0,1.1k,3.4k,Auto Components | Pune +39 other locations
Stanza Living,3.1,1.1k,3.6k,Internet | Bengaluru +36 other locations
VMware Software,4.4,1.1k,9k,Software Product | Bengaluru +17 other locations
Sri Chaitanya Educational Institutions,3.6,1.1k,3k,Education & Training | Hyderabad +103 other locations
Hikal,3.8,1.1k,4.7k,Pharma | Bengaluru +22 other locations
Svatantra Microfin,3.9,1.1k,2.1k,NBFC | Mumbai +334 other locations
Saipem,4.2,1.1k,3.3k,Engineering & Construction | Chennai +42 other locations
Zydus Wellness,4.0,1.1k,2.7k,FMCG | Ahmedabad +129 other locations
MG Motor,3.8,1.1k,4.7k,Automobile | Vadodara +100 other locations
Kirloskar Brothers,3.8,1.1k,4.4k,Industrial Machinery | Pune +73 other locations
Syngenta,4.2,1.1k,3.7k,Agriculture | Pune +173 other locations
ICON Plc,4.0,1.1k,4.3k,Clinical Research | Chennai +23 other locations
Knorr-Bremse,3.3,1.1k,5k,Auto Components | Pune +32 other locations
Godrej Agrovet,3.9,1.1k,3.5k,Agriculture | Mumbai +145 other locations
Aarvi Encon,3.9,1.1k,3k,Recruitment | Mumbai +132 other locations
Xyz Company,3.8,1.1k,46.6k,Financial Services | Bengaluru +91 other locations
Tube Investments of India,3.8,1.1k,3.6k,Engineering & Construction | Chennai +64 other locations
Vedanta Aluminium,3.8,1.1k,4.5k,Metals & Mining | Jharsuguda +45 other locations
CALIBEHR,4.0,1.1k,2.7k,IT Services & Consulting | Mumbai +182 other locations
Northcorp Software,4.8,1.1k,217,IT Services & Consulting | Gurugram +7 other locations
1point1 Solutions,3.3,1.1k,3.1k,BPO | Bengaluru +18 other locations
HPCL-Mittal Energy Limited,4.3,1.1k,4.7k,Petrochemicals | Bathinda +29 other locations
Metropolis Healthcare,3.9,1.1k,3.6k,Healthcare | Mumbai +104 other locations
Adani Ports and SEZ,3.6,1.1k,3.9k,Ports & Shipping | Mundra +60 other locations
Jet Airways,4.6,1.1k,1.9k,Aviation | Mumbai +44 other locations
GAIL,4.4,1.1k,3.2k,Oil & Gas | New Delhi +104 other locations
Gmmco,4.0,1.1k,2.8k,Industrial Machinery | Chennai +90 other locations
Vayona Energy,4.0,1.1k,4.8k,Power | Bengaluru +68 other locations
TKIL,4.1,1.1k,4.5k,Industrial Machinery | Pune +64 other locations
Power Grid Corporation of India,4.3,1.1k,2k,Power | Gurugram +235 other locations
Tata Capital Housing Finance,3.9,1.1k,3.2k,NBFC | Mumbai +169 other locations
Unity Small Finance Bank,3.6,1.1k,4.1k,Banking | Mumbai +149 other locations
Pernod Ricard,3.5,1.1k,4.6k,Beverage | Gurugram +120 other locations
Nexa,4.0,1.1k,2.4k,Automobile | New Delhi +215 other locations
Klm Axiva Finvest,4.4,1.1k,772,NBFC | Bengaluru +158 other locations
Bajaj Capital Insurance Broking Limited,4.4,1.1k,1.3k,Insurance | New Delhi +140 other locations
Dana Anand,4.0,1.1k,2.9k,Auto Components | Pune +49 other locations
Aspire Systems,3.8,1.1k,9.9k,IT Services & Consulting | Chennai +23 other locations
Amazon Sellers Services,4.0,1.1k,2.5k,Internet | Bengaluru +68 other locations
Hinduja Housing Finance,3.7,1.1k,2.8k,NBFC | New Delhi +214 other locations
Thermo Fisher Scientific,3.8,1k,6.6k,Biotechnology | Bengaluru +36 other locations
Zf Rane Automotive,3.9,1k,3.9k,Auto Components | Chennai +50 other locations
Greenko Group,3.9,1k,3.7k,Power | Hyderabad +82 other locations
Spencer's Retail,3.8,1k,2.8k,Retail | Kolkata +63 other locations
Nippon Life India Asset Management,4.6,1k,1.6k,Financial Services | Mumbai +189 other locations
Bharat Sanchar Nigam,3.9,1k,2.6k,Telecom | Bengaluru +240 other locations
Hindustan Zinc,3.8,1k,4.4k,Metals & Mining | Udaipur +36 other locations
Fractal Analytics,4.0,1k,11k,Analytics & KPO | Bengaluru +19 other locations
SLMG Beverages,3.9,1k,3.3k,Beverage | Lucknow +95 other locations
TÜV NORD,3.7,1k,4k,"Testing, Inspection and Certification (TIC) | Pune +86 other locations"
GlobalData,3.3,1k,5.5k,Analytics & KPO | Hyderabad +21 other locations
Netcracker Technology,3.0,1k,9.2k,IT Services & Consulting | Hyderabad +12 other locations
Gharda Chemicals Limited,4.0,1k,4.6k,Agro Chemicals | Mumbai +73 other locations
ValueMomentum,3.2,1k,8.8k,IT Services & Consulting | Hyderabad +11 other locations
Kinara Capital,4.2,1k,2.2k,NBFC | Bengaluru +114 other locations
Wheels,3.9,1k,5.1k,Auto Components | Chennai +47 other locations
QX Global Group,3.1,1k,4.5k,BPO | Ahmedabad +19 other locations
